method,data,type,colums,func,start,end,width,height,errorbound,error,ssim,iterations,totaltime,sqltime
ours,synthetic100k2v,linenum,1;2,plus,0,-1,600,600,0.05,0.0450,0.9820,1,0.124,0.049
ours,synthetic100m2v,linenum,1;2,plus,0,-1,600,600,0.05,0.0480,0.9767,12,0.891,0.389
ours,synthetic10k2v,linenum,1;2,plus,0,-1,600,600,0.05,0.0124,0.9891,1,0.124,0.035
ours,synthetic10m16v,tsnum,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16,mean,0,-1,600,600,0.05,0.0301,0.9788,4,2.064,0.554
ours,synthetic10m2v,linenum,1;2,plus,0,-1,600,600,0.05,0.0308,0.9908,1,0.326,0.152
ours,synthetic10m2v,tsnum,1;2,mean,0,-1,600,600,0.05,0.0308,0.9908,1,0.386,0.135
ours,synthetic10m4v,tsnum,1;2;3;4,mean,0,-1,600,600,0.05,0.0377,0.9908,1,0.483,0.176
ours,synthetic10m8v,tsnum,1;2;3;4;5;6;7;8,mean,0,-1,600,600,0.05,0.0485,0.9903,1,0.894,0.270
ours,synthetic1m2v,linenum,1;2,plus,0,-1,600,600,0.05,0.0192,0.9868,1,0.191,0.113
PG-F,synthetic100k2v,linenum,1;2,plus,0,-1,600,600,0.05,0.0000,1.0000,0,0.274,0.259
PG-F,synthetic100m2v,linenum,1;2,plus,0,-1,600,600,0.05,0.0000,1.0000,0,113.687,111.975
PG-F,synthetic10k2v,linenum,1;2,plus,0,-1,600,600,0.05,0.0000,1.0000,0,0.059,0.053
PG-F,synthetic10m16v,tsnum,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16,mean,0,-1,600,600,0.05,0.0000,1.0000,0,25.963,25.690
PG-F,synthetic10m2v,linenum,1;2,plus,0,-1,600,600,0.05,0.0000,1.0000,0,12.052,11.787
PG-F,synthetic10m2v,tsnum,1;2,mean,0,-1,600,600,0.05,0.0000,1.0000,0,14.551,14.224
PG-F,synthetic10m4v,tsnum,1;2;3;4,mean,0,-1,600,600,0.05,0.0000,1.0000,0,14.506,14.275
PG-F,synthetic10m8v,tsnum,1;2;3;4;5;6;7;8,mean,0,-1,600,600,0.05,0.0000,1.0000,0,17.603,17.404
PG-F,synthetic1m2v,linenum,1;2,plus,0,-1,600,600,0.05,0.0000,1.0000,0,1.847,1.809
