method,data,type,colums,func,start,end,width,height,errorbound,error,ssim,iterations,totaltime,sqltime
ours,nycdata,static,7;9;1;2;3;4;5;6;8;10;11,func1,0,-1,200,600,0.1,0,0,14,1.131,0.980
ours,nycdata,static,7;9;1;2;3;4;5;6;8;10;11,func1,0,-1,400,600,0.1,0,0,13,1.029,0.843
ours,nycdata,static,7;9;1;2;3;4;5;6;8;10;11,func1,0,-1,600,600,0.1,0,0,13,1.209,1.037
ours,nycdata,static,7;9;1;2;3;4;5;6;8;10;11,func1,0,-1,800,600,0.1,0,0,12,1.124,0.897
ours,nycdata,static,7;9;1;2;3;4;5;6;8;10;11,func1,0,-1,1000,600,0.1,0,0,12,1.305,1.086
ours,nycdata,static,7;9;1;2;3;4;5;6;8;10;11,func1,0,-1,1200,600,0.1,0,0,12,0.871,0.621
ours,nycdata,static,7;9;1;2;3;4;5;6;8;10;11,boxcox0,0,-1,200,600,0.1,0,0,0,0.054,0.027
ours,nycdata,static,7;9;1;2;3;4;5;6;8;10;11,boxcox0,0,-1,400,600,0.1,0,0,0,0.093,0.049
ours,nycdata,static,7;9;1;2;3;4;5;6;8;10;11,boxcox0,0,-1,600,600,0.1,0,0,0,0.118,0.066
ours,nycdata,static,7;9;1;2;3;4;5;6;8;10;11,boxcox0,0,-1,800,600,0.1,0,0,0,0.142,0.071
ours,nycdata,static,7;9;1;2;3;4;5;6;8;10;11,boxcox0,0,-1,1000,600,0.1,0,0,0,0.160,0.088
ours,nycdata,static,7;9;1;2;3;4;5;6;8;10;11,boxcox0,0,-1,1200,600,0.1,0,0,0,0.172,0.087
ours,nycdata,static,7;9;1;2;3;4;5;6;8;10;11,plus,0,-1,200,600,0.1,0,0,15,0.163,0.096
ours,nycdata,static,7;9;1;2;3;4;5;6;8;10;11,plus,0,-1,400,600,0.1,0,0,14,0.299,0.171
ours,nycdata,static,7;9;1;2;3;4;5;6;8;10;11,plus,0,-1,600,600,0.1,0,0,13,0.428,0.209
ours,nycdata,static,7;9;1;2;3;4;5;6;8;10;11,plus,0,-1,800,600,0.1,0,0,13,0.504,0.253
ours,nycdata,static,7;9;1;2;3;4;5;6;8;10;11,plus,0,-1,1000,600,0.1,0,0,12,0.604,0.310
ours,nycdata,static,7;9;1;2;3;4;5;6;8;10;11,plus,0,-1,1200,600,0.1,0,0,12,0.689,0.363
ours,nycdata,static,7;9;1;2;3;4;5;6;8;10;11,minus,0,-1,200,600,0.1,0,0,10,0.232,0.138
ours,nycdata,static,7;9;1;2;3;4;5;6;8;10;11,minus,0,-1,400,600,0.1,0,0,11,0.445,0.254
ours,nycdata,static,7;9;1;2;3;4;5;6;8;10;11,minus,0,-1,600,600,0.1,0,0,11,0.641,0.364
ours,nycdata,static,7;9;1;2;3;4;5;6;8;10;11,minus,0,-1,800,600,0.1,0,0,11,0.819,0.436
ours,nycdata,static,7;9;1;2;3;4;5;6;8;10;11,minus,0,-1,1000,600,0.1,0,0,11,0.978,0.538
ours,nycdata,static,7;9;1;2;3;4;5;6;8;10;11,minus,0,-1,1200,600,0.1,0,0,12,1.067,0.532
ours,nycdata,static,7;9;1;2;3;4;5;6;8;10;11,multi,0,-1,200,600,0.1,0,0,29,0.289,0.176
ours,nycdata,static,7;9;1;2;3;4;5;6;8;10;11,multi,0,-1,400,600,0.1,0,0,29,0.529,0.296
ours,nycdata,static,7;9;1;2;3;4;5;6;8;10;11,multi,0,-1,600,600,0.1,0,0,27,0.732,0.399
ours,nycdata,static,7;9;1;2;3;4;5;6;8;10;11,multi,0,-1,800,600,0.1,0,0,26,0.941,0.491
ours,nycdata,static,7;9;1;2;3;4;5;6;8;10;11,multi,0,-1,1000,600,0.1,0,0,23,1.090,0.558
ours,nycdata,static,7;9;1;2;3;4;5;6;8;10;11,multi,0,-1,1200,600,0.1,0,0,20,1.164,0.617
ours,nycdata,static,7;9;1;2;3;4;5;6;8;10;11,devide,0,-1,200,600,0.1,0,0,26,0.329,0.199
ours,nycdata,static,7;9;1;2;3;4;5;6;8;10;11,devide,0,-1,400,600,0.1,0,0,25,0.462,0.244
ours,nycdata,static,7;9;1;2;3;4;5;6;8;10;11,devide,0,-1,600,600,0.1,0,0,21,0.587,0.299
ours,nycdata,static,7;9;1;2;3;4;5;6;8;10;11,devide,0,-1,800,600,0.1,0,0,24,0.787,0.405
ours,nycdata,static,7;9;1;2;3;4;5;6;8;10;11,devide,0,-1,1000,600,0.1,0,0,23,0.967,0.485
ours,nycdata,static,7;9;1;2;3;4;5;6;8;10;11,devide,0,-1,1200,600,0.1,0,0,22,1.064,0.547
ours,nycdata,static,7;9;1;2;3;4;5;6;8;10;11,func4,0,-1,200,600,0.1,0,0,46,0.453,0.273
ours,nycdata,static,7;9;1;2;3;4;5;6;8;10;11,func4,0,-1,400,600,0.1,0,0,42,0.549,0.284
ours,nycdata,static,7;9;1;2;3;4;5;6;8;10;11,func4,0,-1,600,600,0.1,0,0,34,0.608,0.298
ours,nycdata,static,7;9;1;2;3;4;5;6;8;10;11,func4,0,-1,800,600,0.1,0,0,32,0.825,0.385
ours,nycdata,static,7;9;1;2;3;4;5;6;8;10;11,func4,0,-1,1000,600,0.1,0,0,30,0.921,0.456
ours,nycdata,static,7;9;1;2;3;4;5;6;8;10;11,func4,0,-1,1200,600,0.1,0,0,27,1.082,0.529
ours,nycdata,static,7;9;1;2;3;4;5;6;8;10;11,mean,0,-1,200,600,0.1,0,0,10,0.840,0.343
ours,nycdata,static,7;9;1;2;3;4;5;6;8;10;11,mean,0,-1,400,600,0.1,0,0,11,1.327,0.439
ours,nycdata,static,7;9;1;2;3;4;5;6;8;10;11,mean,0,-1,600,600,0.1,0,0,9,1.695,0.547
ours,nycdata,static,7;9;1;2;3;4;5;6;8;10;11,mean,0,-1,800,600,0.1,0,0,11,2.185,0.672
ours,nycdata,static,7;9;1;2;3;4;5;6;8;10;11,mean,0,-1,1000,600,0.1,0,0,10,2.179,0.691
ours,nycdata,static,7;9;1;2;3;4;5;6;8;10;11,mean,0,-1,1200,600,0.1,0,0,10,2.605,0.762
ours,nycdata,static,7;9;1;2;3;4;5;6;8;10;11,variance,0,-1,200,600,0.1,0,0,9,0.518,0.168
ours,nycdata,static,7;9;1;2;3;4;5;6;8;10;11,variance,0,-1,400,600,0.1,0,0,11,0.931,0.278
ours,nycdata,static,7;9;1;2;3;4;5;6;8;10;11,variance,0,-1,600,600,0.1,0,0,9,1.219,0.339
ours,nycdata,static,7;9;1;2;3;4;5;6;8;10;11,variance,0,-1,800,600,0.1,0,0,11,1.918,0.483
ours,nycdata,static,7;9;1;2;3;4;5;6;8;10;11,variance,0,-1,1000,600,0.1,0,0,9,1.856,0.501
ours,nycdata,static,7;9;1;2;3;4;5;6;8;10;11,variance,0,-1,1200,600,0.1,0,0,9,2.200,0.568
ours,nycdata,static,7;9;1;2;3;4;5;6;8;10;11,max,0,-1,200,600,0.1,0,0,1,0.285,0.089
ours,nycdata,static,7;9;1;2;3;4;5;6;8;10;11,max,0,-1,400,600,0.1,0,0,1,0.349,0.085
ours,nycdata,static,7;9;1;2;3;4;5;6;8;10;11,max,0,-1,600,600,0.1,0,0,1,0.529,0.143
ours,nycdata,static,7;9;1;2;3;4;5;6;8;10;11,max,0,-1,800,600,0.1,0,0,1,0.587,0.141
ours,nycdata,static,7;9;1;2;3;4;5;6;8;10;11,max,0,-1,1000,600,0.1,0,0,1,0.704,0.165
ours,nycdata,static,7;9;1;2;3;4;5;6;8;10;11,max,0,-1,1200,600,0.1,0,0,1,0.842,0.183
ours,nycdata,static,7;9;1;2;3;4;5;6;8;10;11,L2,0,-1,200,600,0.1,0,0,10,0.440,0.147
ours,nycdata,static,7;9;1;2;3;4;5;6;8;10;11,L2,0,-1,400,600,0.1,0,0,11,0.900,0.279
ours,nycdata,static,7;9;1;2;3;4;5;6;8;10;11,L2,0,-1,600,600,0.1,0,0,10,1.315,0.365
ours,nycdata,static,7;9;1;2;3;4;5;6;8;10;11,L2,0,-1,800,600,0.1,0,0,11,1.690,0.448
ours,nycdata,static,7;9;1;2;3;4;5;6;8;10;11,L2,0,-1,1000,600,0.1,0,0,10,1.711,0.484
ours,nycdata,static,7;9;1;2;3;4;5;6;8;10;11,L2,0,-1,1200,600,0.1,0,0,10,2.025,0.555
ours,nycdata,static,7;9;1;2;3;4;5;6;8;10;11,weightsum,0,-1,200,600,0.1,0,0,10,0.475,0.176
ours,nycdata,static,7;9;1;2;3;4;5;6;8;10;11,weightsum,0,-1,400,600,0.1,0,0,10,0.853,0.253
ours,nycdata,static,7;9;1;2;3;4;5;6;8;10;11,weightsum,0,-1,600,600,0.1,0,0,10,1.324,0.382
ours,nycdata,static,7;9;1;2;3;4;5;6;8;10;11,weightsum,0,-1,800,600,0.1,0,0,11,1.635,0.441
ours,nycdata,static,7;9;1;2;3;4;5;6;8;10;11,weightsum,0,-1,1000,600,0.1,0,0,11,1.682,0.478
ours,nycdata,static,7;9;1;2;3;4;5;6;8;10;11,weightsum,0,-1,1200,600,0.1,0,0,11,2.003,0.562
ours,sensordata,static,5;4;3;2;1;7;6,func1,0,-1,200,600,0.1,0,0,1,0.859,0.832
ours,sensordata,static,5;4;3;2;1;7;6,func1,0,-1,400,600,0.1,0,0,1,0.802,0.711
ours,sensordata,static,5;4;3;2;1;7;6,func1,0,-1,600,600,0.1,0,0,1,1.373,1.278
ours,sensordata,static,5;4;3;2;1;7;6,func1,0,-1,800,600,0.1,0,0,1,1.225,1.114
ours,sensordata,static,5;4;3;2;1;7;6,func1,0,-1,1000,600,0.1,0,0,1,2.079,1.943
ours,sensordata,static,5;4;3;2;1;7;6,func1,0,-1,1200,600,0.1,0,0,1,1.251,1.051
ours,sensordata,static,5;4;3;2;1;7;6,boxcox0,0,-1,200,600,0.1,0,0,0,0.094,0.040
ours,sensordata,static,5;4;3;2;1;7;6,boxcox0,0,-1,400,600,0.1,0,0,0,0.114,0.052
ours,sensordata,static,5;4;3;2;1;7;6,boxcox0,0,-1,600,600,0.1,0,0,0,0.180,0.081
ours,sensordata,static,5;4;3;2;1;7;6,boxcox0,0,-1,800,600,0.1,0,0,0,0.200,0.107
ours,sensordata,static,5;4;3;2;1;7;6,boxcox0,0,-1,1000,600,0.1,0,0,0,0.238,0.124
ours,sensordata,static,5;4;3;2;1;7;6,boxcox0,0,-1,1200,600,0.1,0,0,0,0.314,0.137
ours,sensordata,static,5;4;3;2;1;7;6,plus,0,-1,200,600,0.1,0,0,9,0.954,0.789
ours,sensordata,static,5;4;3;2;1;7;6,plus,0,-1,400,600,0.1,0,0,9,1.217,0.919
ours,sensordata,static,5;4;3;2;1;7;6,plus,0,-1,600,600,0.1,0,0,9,1.604,1.217
ours,sensordata,static,5;4;3;2;1;7;6,plus,0,-1,800,600,0.1,0,0,10,1.845,1.364
ours,sensordata,static,5;4;3;2;1;7;6,plus,0,-1,1000,600,0.1,0,0,9,2.176,1.561
ours,sensordata,static,5;4;3;2;1;7;6,plus,0,-1,1200,600,0.1,0,0,11,2.062,1.323
ours,sensordata,static,5;4;3;2;1;7;6,minus,0,-1,200,600,0.1,0,0,8,0.661,0.488
ours,sensordata,static,5;4;3;2;1;7;6,minus,0,-1,400,600,0.1,0,0,8,0.897,0.594
ours,sensordata,static,5;4;3;2;1;7;6,minus,0,-1,600,600,0.1,0,0,9,1.290,0.897
ours,sensordata,static,5;4;3;2;1;7;6,minus,0,-1,800,600,0.1,0,0,9,1.427,0.969
ours,sensordata,static,5;4;3;2;1;7;6,minus,0,-1,1000,600,0.1,0,0,10,1.793,1.214
ours,sensordata,static,5;4;3;2;1;7;6,minus,0,-1,1200,600,0.1,0,0,11,1.910,1.234
ours,sensordata,static,5;4;3;2;1;7;6,multi,0,-1,200,600,0.1,0,0,23,0.596,0.374
ours,sensordata,static,5;4;3;2;1;7;6,multi,0,-1,400,600,0.1,0,0,12,0.724,0.371
ours,sensordata,static,5;4;3;2;1;7;6,multi,0,-1,600,600,0.1,0,0,10,0.869,0.478
ours,sensordata,static,5;4;3;2;1;7;6,multi,0,-1,800,600,0.1,0,0,9,1.112,0.605
ours,sensordata,static,5;4;3;2;1;7;6,multi,0,-1,1000,600,0.1,0,0,11,1.389,0.726
ours,sensordata,static,5;4;3;2;1;7;6,multi,0,-1,1200,600,0.1,0,0,11,1.441,0.727
ours,sensordata,static,5;4;3;2;1;7;6,devide,0,-1,200,600,0.1,0,0,8,0.403,0.246
ours,sensordata,static,5;4;3;2;1;7;6,devide,0,-1,400,600,0.1,0,0,9,0.647,0.350
ours,sensordata,static,5;4;3;2;1;7;6,devide,0,-1,600,600,0.1,0,0,10,1.013,0.562
