method,data,type,colums,func,start,end,width,height,errorbound,error,ssim,iterations,totaltime,sqltime
ours,synthetic10m16v,tsnum,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16,mean,0,-1,600,600,0.05,0.0301,0.9788,4,1.557,0.490
ours,synthetic10m16v,tsnum,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15,mean,0,-1,600,600,0.05,0.0354,0.9789,5,1.451,0.472
ours,synthetic10m16v,tsnum,1;2;3;4;5;6;7;8;9;10;11;12;13;14,mean,0,-1,600,600,0.05,0.0497,0.9872,4,1.301,0.420
ours,synthetic10m16v,tsnum,1;2;3;4;5;6;7;8;9;10;11;12;13,mean,0,-1,600,600,0.05,0.0489,0.9887,1,1.173,0.341
ours,synthetic10m16v,tsnum,1;2;3;4;5;6;7;8;9;10;11;12,mean,0,-1,600,600,0.05,0.0463,0.9894,1,1.117,0.327
ours,synthetic10m16v,tsnum,1;2;3;4;5;6;7;8;9;10;11,mean,0,-1,600,600,0.05,0.0481,0.9893,1,1.081,0.314
ours,synthetic10m16v,tsnum,1;2;3;4;5;6;7;8;9;10,mean,0,-1,600,600,0.05,0.0484,0.9882,1,1.084,0.318
ours,synthetic10m16v,tsnum,1;2;3;4;5;6;7;8;9,mean,0,-1,600,600,0.05,0.0466,0.9900,1,1.085,0.315
ours,synthetic10m16v,tsnum,1;2;3;4;5;6;7;8,mean,0,-1,600,600,0.05,0.0426,0.9903,1,0.933,0.268
ours,synthetic10m16v,tsnum,1;2;3;4;5;6;7,mean,0,-1,600,600,0.05,0.0420,0.9903,1,0.813,0.256
ours,synthetic10m16v,tsnum,1;2;3;4;5;6,mean,0,-1,600,600,0.05,0.0336,0.9877,1,0.681,0.241
ours,synthetic10m16v,tsnum,1;2;3;4;5,mean,0,-1,600,600,0.05,0.0324,0.9901,1,0.573,0.184
ours,synthetic10m16v,tsnum,1;2;3;4,mean,0,-1,600,600,0.05,0.0258,0.9932,1,0.505,0.175
ours,synthetic10m16v,tsnum,1;2;3,mean,0,-1,600,600,0.05,0.0228,0.9946,1,0.318,0.127
ours,synthetic10m16v,tsnum,1;2,mean,0,-1,600,600,0.05,0.0248,0.9901,1,0.288,0.120
ours,synthetic10m16v,tsnum,1,mean,0,-1,600,600,0.05,0.0000,1.0000,0,0.212,0.075
