experiment: ours ; table: nycdata ; interacttype:  ; columns: 7,9,1,2,3,4,5,6,8,10,11 ; memLimit: 0 ; errorBound: 0.1 ; symbolName: max ; width: 200 ; startTime: 0 ; endTime: -1 ; totaltime: 0.406 ; sqltime: 0.118
experiment: ours ; table: nycdata ; interacttype:  ; columns: 7,9,1,2,3,4,5,6,8,10,11 ; memLimit: 0 ; errorBound: 0.1 ; symbolName: max ; width: 400 ; startTime: 0 ; endTime: -1 ; totaltime: 0.453 ; sqltime: 0.115
experiment: ours ; table: nycdata ; interacttype:  ; columns: 7,9,1,2,3,4,5,6,8,10,11 ; memLimit: 0 ; errorBound: 0.1 ; symbolName: max ; width: 600 ; startTime: 0 ; endTime: -1 ; totaltime: 0.692 ; sqltime: 0.173
experiment: ours ; table: nycdata ; interacttype:  ; columns: 7,9,1,2,3,4,5,6,8,10,11 ; memLimit: 0 ; errorBound: 0.1 ; symbolName: max ; width: 800 ; startTime: 0 ; endTime: -1 ; totaltime: 0.696 ; sqltime: 0.174
experiment: ours ; table: nycdata ; interacttype:  ; columns: 7,9,1,2,3,4,5,6,8,10,11 ; memLimit: 0 ; errorBound: 0.1 ; symbolName: max ; width: 1000 ; startTime: 0 ; endTime: -1 ; totaltime: 0.829 ; sqltime: 0.179
experiment: ours ; table: nycdata ; interacttype:  ; columns: 7,9,1,2,3,4,5,6,8,10,11 ; memLimit: 0 ; errorBound: 0.1 ; symbolName: max ; width: 1200 ; startTime: 0 ; endTime: -1 ; totaltime: 0.944 ; sqltime: 0.190
experiment: ours ; table: nycdata ; interacttype:  ; columns: 7,9,1,2,3,4,5,6,8,10,11 ; memLimit: 0 ; errorBound: 0.1 ; symbolName: L2 ; width: 200 ; startTime: 0 ; endTime: -1 ; totaltime: 0.500 ; sqltime: 0.156
experiment: ours ; table: nycdata ; interacttype:  ; columns: 7,9,1,2,3,4,5,6,8,10,11 ; memLimit: 0 ; errorBound: 0.1 ; symbolName: L2 ; width: 400 ; startTime: 0 ; endTime: -1 ; totaltime: 0.916 ; sqltime: 0.280
experiment: ours ; table: nycdata ; interacttype:  ; columns: 7,9,1,2,3,4,5,6,8,10,11 ; memLimit: 0 ; errorBound: 0.1 ; symbolName: L2 ; width: 600 ; startTime: 0 ; endTime: -1 ; totaltime: 1.236 ; sqltime: 0.350
experiment: ours ; table: nycdata ; interacttype:  ; columns: 7,9,1,2,3,4,5,6,8,10,11 ; memLimit: 0 ; errorBound: 0.1 ; symbolName: L2 ; width: 800 ; startTime: 0 ; endTime: -1 ; totaltime: 1.614 ; sqltime: 0.455
experiment: ours ; table: nycdata ; interacttype:  ; columns: 7,9,1,2,3,4,5,6,8,10,11 ; memLimit: 0 ; errorBound: 0.1 ; symbolName: L2 ; width: 1000 ; startTime: 0 ; endTime: -1 ; totaltime: 1.766 ; sqltime: 0.467
experiment: ours ; table: nycdata ; interacttype:  ; columns: 7,9,1,2,3,4,5,6,8,10,11 ; memLimit: 0 ; errorBound: 0.1 ; symbolName: L2 ; width: 1200 ; startTime: 0 ; endTime: -1 ; totaltime: 2.434 ; sqltime: 0.585
experiment: ours ; table: nycdata ; interacttype:  ; columns: 7,9,1,2,3,4,5,6,8,10,11 ; memLimit: 0 ; errorBound: 0.1 ; symbolName: weightsum ; width: 200 ; startTime: 0 ; endTime: -1 ; totaltime: 0.599 ; sqltime: 0.195
experiment: ours ; table: nycdata ; interacttype:  ; columns: 7,9,1,2,3,4,5,6,8,10,11 ; memLimit: 0 ; errorBound: 0.1 ; symbolName: weightsum ; width: 400 ; startTime: 0 ; endTime: -1 ; totaltime: 0.936 ; sqltime: 0.276
experiment: ours ; table: nycdata ; interacttype:  ; columns: 7,9,1,2,3,4,5,6,8,10,11 ; memLimit: 0 ; errorBound: 0.1 ; symbolName: weightsum ; width: 600 ; startTime: 0 ; endTime: -1 ; totaltime: 1.151 ; sqltime: 0.351
experiment: ours ; table: nycdata ; interacttype:  ; columns: 7,9,1,2,3,4,5,6,8,10,11 ; memLimit: 0 ; errorBound: 0.1 ; symbolName: weightsum ; width: 800 ; startTime: 0 ; endTime: -1 ; totaltime: 1.560 ; sqltime: 0.453
experiment: ours ; table: nycdata ; interacttype:  ; columns: 7,9,1,2,3,4,5,6,8,10,11 ; memLimit: 0 ; errorBound: 0.1 ; symbolName: weightsum ; width: 1000 ; startTime: 0 ; endTime: -1 ; totaltime: 1.521 ; sqltime: 0.462
experiment: ours ; table: nycdata ; interacttype:  ; columns: 7,9,1,2,3,4,5,6,8,10,11 ; memLimit: 0 ; errorBound: 0.1 ; symbolName: weightsum ; width: 1200 ; startTime: 0 ; endTime: -1 ; totaltime: 1.785 ; sqltime: 0.527
experiment: ours ; table: sensordata ; interacttype:  ; columns: 5,4,3,2,1,7,6 ; memLimit: 0 ; errorBound: 0.1 ; symbolName: max ; width: 200 ; startTime: 0 ; endTime: -1 ; totaltime: 0.279 ; sqltime: 0.087
experiment: ours ; table: sensordata ; interacttype:  ; columns: 5,4,3,2,1,7,6 ; memLimit: 0 ; errorBound: 0.1 ; symbolName: max ; width: 400 ; startTime: 0 ; endTime: -1 ; totaltime: 0.396 ; sqltime: 0.118
experiment: ours ; table: sensordata ; interacttype:  ; columns: 5,4,3,2,1,7,6 ; memLimit: 0 ; errorBound: 0.1 ; symbolName: max ; width: 600 ; startTime: 0 ; endTime: -1 ; totaltime: 0.452 ; sqltime: 0.138
experiment: ours ; table: sensordata ; interacttype:  ; columns: 5,4,3,2,1,7,6 ; memLimit: 0 ; errorBound: 0.1 ; symbolName: max ; width: 800 ; startTime: 0 ; endTime: -1 ; totaltime: 0.549 ; sqltime: 0.166
experiment: ours ; table: sensordata ; interacttype:  ; columns: 5,4,3,2,1,7,6 ; memLimit: 0 ; errorBound: 0.1 ; symbolName: max ; width: 1000 ; startTime: 0 ; endTime: -1 ; totaltime: 0.756 ; sqltime: 0.232
experiment: ours ; table: sensordata ; interacttype:  ; columns: 5,4,3,2,1,7,6 ; memLimit: 0 ; errorBound: 0.1 ; symbolName: max ; width: 1200 ; startTime: 0 ; endTime: -1 ; totaltime: 0.835 ; sqltime: 0.232
experiment: ours ; table: sensordata ; interacttype:  ; columns: 5,4,3,2,1,7,6 ; memLimit: 0 ; errorBound: 0.1 ; symbolName: L2 ; width: 200 ; startTime: 0 ; endTime: -1 ; totaltime: 0.305 ; sqltime: 0.080
experiment: ours ; table: sensordata ; interacttype:  ; columns: 5,4,3,2,1,7,6 ; memLimit: 0 ; errorBound: 0.1 ; symbolName: L2 ; width: 400 ; startTime: 0 ; endTime: -1 ; totaltime: 0.416 ; sqltime: 0.099
experiment: ours ; table: sensordata ; interacttype:  ; columns: 5,4,3,2,1,7,6 ; memLimit: 0 ; errorBound: 0.1 ; symbolName: L2 ; width: 600 ; startTime: 0 ; endTime: -1 ; totaltime: 0.495 ; sqltime: 0.130
experiment: ours ; table: sensordata ; interacttype:  ; columns: 5,4,3,2,1,7,6 ; memLimit: 0 ; errorBound: 0.1 ; symbolName: L2 ; width: 800 ; startTime: 0 ; endTime: -1 ; totaltime: 0.597 ; sqltime: 0.159
experiment: ours ; table: sensordata ; interacttype:  ; columns: 5,4,3,2,1,7,6 ; memLimit: 0 ; errorBound: 0.1 ; symbolName: L2 ; width: 1000 ; startTime: 0 ; endTime: -1 ; totaltime: 0.723 ; sqltime: 0.196
experiment: ours ; table: sensordata ; interacttype:  ; columns: 5,4,3,2,1,7,6 ; memLimit: 0 ; errorBound: 0.1 ; symbolName: L2 ; width: 1200 ; startTime: 0 ; endTime: -1 ; totaltime: 0.811 ; sqltime: 0.217
experiment: ours ; table: sensordata ; interacttype:  ; columns: 5,4,3,2,1,7,6 ; memLimit: 0 ; errorBound: 0.1 ; symbolName: weightsum ; width: 200 ; startTime: 0 ; endTime: -1 ; totaltime: 0.296 ; sqltime: 0.071
